metric,datatype,statement
Accounts Payables (Annual),int,Balance Sheet
Accounts Payables (Quarter),int,Balance Sheet
Accounts Payables (TTM),int,Balance Sheet
Accumulated Other Comprehensive Income (Annual),int,Balance Sheet
Accumulated Other Comprehensive Income (Quarter),int,Balance Sheet
Accumulated Other Comprehensive Income (TTM),int,Balance Sheet
Asset Turnover Ratio (Annual),int,Others
Asset Turnover Ratio (Quarter),int,Others
Asset Turnover Ratio (TTM),int,Others
Asset Utilization Ratio (Annual),int,Others
Asset Utilization Ratio (Quarter),int,Others
Asset Utilization Ratio (TTM),int,Others
Assets Non-Current (Annual),int,Others
Assets Non-Current (Quarter),int,Others
Assets Non-Current (TTM),int,Others
Book Value per Share,int,Valuation Multiples
Business Acquisitions and Disposals (Annual),int,Cash Flow Statement Highlights
Business Acquisitions and Disposals (Quarter),int,Cash Flow Statement Highlights
Business Acquisitions and Disposals (TTM),int,Cash Flow Statement Highlights
Capex Growth (1y) % (Annual),%,Growth Metrics
Capex Growth (1y) % (Quarter),%,Growth Metrics
Capex Growth (1y) % (TTM),%,Growth Metrics
Capex Growth (3y CAGR) % (Annual),%,Growth Metrics
Capex Growth (3y CAGR) % (Quarter),%,Growth Metrics
Capex Growth (3y CAGR) % (TTM),%,Growth Metrics
Capex Growth (5y CAGR) % (Annual),%,Growth Metrics
Capex Growth (5y CAGR) % (Quarter),%,Growth Metrics
Capex Growth (5y CAGR) % (TTM),%,Growth Metrics
Capex Growth QoQ (bps) (Quarter),%,Growth Metrics
Capex Growth QoQ (bps) (TTM),%,Growth Metrics
Capex as a % of Revenue (Annual),%,Others
Capex as a % of Revenue (Quarter),%,Others
Capex as a % of Revenue (TTM),%,Others
Capital Employed (Annual),int,Others
Capital Employed (Quarter),int,Others
Capital Employed (TTM),int,Others
Capital Expenditure (-1) (Annual),int,Cash Flow Statement Highlights
Capital Expenditure (-1) (Quarter),int,Cash Flow Statement Highlights
Capital Expenditure (-1) (TTM),int,Cash Flow Statement Highlights
Capital Expenditure (Annual),int,Others
Capital Expenditure (Quarter),int,Others
